uni,date,cost
unca,Aug 2015,6485.00
ecsu,Aug 2004,2473.50
ecsu,Aug 2005,2492.50
ecsu,Aug 2006,2763.50
ecsu,Aug 2007,2896.50
ecsu,Aug 2008,2920.50
ecsu,Aug 2009,3031.00
ecsu,Aug 2010,3639.38
ecsu,Aug 2011,3828.66
ecsu,Aug 2012,4149.69
ecsu,Aug 2013,4427.63
ecsu,Aug 2014,4496.74
ecsu,Aug 2015,4656.74
